,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
3171,No Man's Land,"October 20, 2003",PC,70,7.1,"Forget the Old World, for you're now in the land of boundless opportunity. America is yours for the taking: from colonizing the East to settling the Wild West - give it your best shot! Step into the role of a Spanish conqueror, Englishman, Native American, patriot, or settler and experience six thrilling adventures where you'll encounter countless eccentric personalities determined to put a bullet through your head... Show them who's boss: use special forces or bounty hunters, or rely on your wits alone to get your enemies before they get you. This game tests your mettle. In No Man's Land you need the true spirit of America to brave the dangers of the New World, whether fighting the War of Independence or building a transcontinental railroad. [CDV Software]",0,Selective Intuition,Selective Intuition,1,"Action,General"
3172,Iris.Fall,"December 7, 2018",PC,70,6.3,"Iris.Fall is a puzzle adventure game featuring striking visuals and a spellbinding theme of ""light and shadow"".",10,NExT Studios,NExT Studios,4,"Adventure,General"
3173,The Warlock of Firetop Mountain,"August 31, 2016",PC,70,7.2,"The Warlock of Firetop Mountain is a tabletop adventure come to life! This fantasy solo RPG combines unique, simultaneous turn-based combat with a journey that changes based on each figurine you take into Firetop Mountain! Which hero will you take into Zagor's lair THIS time?",7,Tin Man Games,Tin Man Games,2,"Role-Playing,Western-Style"
3174,Immortal Realms: Vampire Wars,"August 28, 2020",PC,70,5.4,"For as long as historians can remember, the ancient Dracul bloodline has ruled over the mysterious lands of Warmont -- Realm of the Bloodthrone. Inside the secluded borders of this land, an unholy court of vampires feast on the blood of their human subjects. And, as long as they give it willingly, a vicious peace between mortal and immortal is kept alive under the watchful eye of the vampiric rulers -- Vlad and Cecilia Dracul, forever bound by eternal love.

To the east, a cold wind blows over the desolate planes of Mourterra -- The Land of the Dead. No humans live on this barren and cursed soil, and yet the land is far from deserted. Horrifying remnants of the ancient and corrupt Nosfernus bloodline stalk here in silence, patiently waiting for their chance to once again plague the lands of the living.

Meanwhile, in Esain -- The Frozen North, another bloodline of vampires resides in solitude and isolation from the world. For the mystical clan of the Moroia, magic is blood, and blood is magic... and it runs thick in their cold, blue veins. No being -- living or dead -- dares interrupt their dark rituals and bloody soirees.

Tonight, the smell of blood is strong on the wind, and a red moon lights up the dark sky. A new vampire war is imminent, and none will be spared from the coming horrors.

Immortal Realms: Vampire Wars is an engaging strategy game set in a dark vampire world in turmoil, that combines empire management and turn-based combat with unique card-game elements. Descend into a mythical world filled with horrors and legends -- and hurl yourself into a compelling gothic epos paired with a challenging game experience.",13,Palindrome Interactive,Kalypso,4,"Strategy,General"
3175,Fallout: New Vegas - Dead Money,"February 22, 2011",PC,70,6.3,"As the victim of a raw deal you must work alongside three other captured wastelanders to recover the legendary treasure of the Sierra Madre Casino. In Dead Money, your life hangs in the balance as you face new terrain, foes, and choices. It is up to you how you play your cards in the quest to survive.",11,Obsidian Entertainment,Bethesda Softworks,3,"Role-Playing,First-Person,First-Person,Western-Style"
3176,The Golf Club,"August 19, 2014",PC,70,6.1,"The Golf Club is HB Studios next generation golf simulation. The Course Creator can generate a brand new course in seconds which can be shared and played immediately online with friends and other gamers across the world. There are also full editing capabilities for courses, Tournaments and Tours. Challenge your friends on a new or existing course in real time or try to beat their best recorded round. Add to this a myriad of stat tracking and personal bests of friends and rivals to beat, notifications, challenges and social media integration and you truly have a golf club worth joining.",11,HB Studios Multimedia,HB Studios Multimedia,3,"Traditional,Sports,Individual,Golf,Sim"
3177,RONIN,"June 30, 2015",PC,70,7.6,Ronin is stylish a turn-based action platformer following the exploits of a vengeful heroine determined to strike down five prominent figures of a powerful corporation.,39,Tomasz Waclawek,Devolver Digital,2,"Strategy,Turn-Based,General"
3178,Halo: Spartan Assault,"July 18, 2013",PC,70,6.3,"Available only for Windows 8 and Windows Phone 8, ""Halo: Spartan Assault"" is a new top-down action shooter that brings a ""Halo"" video game to touch-based devices for the first time in franchise history. Developed by 343 Industries in conjunction with Vanguard Games, ""Halo: Spartan Assault"" provides an accessible, pick-up-and-play experience for fans and newcomers alike.

Set between the events of ""Halo 3"" and ""Halo 4,"" ""Halo: Spartan Assault"" is a new chapter of the award-winning ""Halo"" universe that explores the first missions of the Spartan Ops program and dives deeper into the backstory of Human-Covenant wars. Play through the eyes of either Commander Sarah Palmer or Spartan Davis stationed aboard the UNSC Infinity as they fight never-before-seen battles against Covenant forces.

With rich storytelling, intuitive controls, and best-in-class action, audio and graphics, ""Halo: Spartan Assault"" brings the epic scale and action of the ""Halo"" universe to mobile devices through unrivaled action and intensity.",17,"Vanguard, 343 Industries",Microsoft Game Studios,4,"Action,General,General,Shooter,Scrolling,Shoot-'Em-Up,Top-Down,Vertical"
3179,Tom Clancy's HAWX,"March 17, 2009",PC,70,7.2,"Tom Clancy's HAWX (high-altitude warfare) promises to revolutionize the way players think about combat in the sky. The story begins in the year 2012. As the era of the nation-state draws quickly to a close, the rules of warfare evolve even more rapidly. More and more nations become increasingly dependent on private military companies (PMCs), elite mercenaries with a lax view of the law. The Reykjavik Accords further legitimize their existence by authorizing their right to serve in every aspect of military operations. While the benefits of such PMCs are apparent, growing concerns surrounding giving them too much power begin to mount. The Enhanced Reality System is the backbone of the HAWX flight experience: radars and incoming missile detection, anti-crash system, damage control system, tactical map and information relay, and weapons trajectory control. E.R.S. also allows players to issue orders to their squadron, making this system as iconic to HAWX as the Cross-Com system is to Tom Clancy's Ghost Recon Advanced Warfighter. Players can ease into their flight missions and gain a level of comfort with the use of the assistance mode. Once employed, players can take full advantage of their technological support through the E.R.S and gain maximum piloting security. If the situation calls for the player to unleash the full potential of the aircraft, the assistance mode can be switched off and all safety features will be deactivated. For the first time ever in the air-combat genre, players can experience the entire solo campaign in four-player JUMP IN co-op mode. In PVP mode, players can challenge up to 15 friends in intense dogfighting sessions and find out who's the top gun. Winning players are rewarded with experience points and money to unlock more weapons. Players have the opportunity to take the throttle of over 50 of the world's most famous aircrafts, as well as being able to dogfight over realistic modern landscapes that have endured years of post-war trauma. [Ubisoft]",23,Ubisoft Romania,Ubisoft,4,"Action,Simulation,Flight,Flight,Combat"
3180,Beyond A Steel Sky,"July 16, 2020",PC,70,6.5,"A 3D adventure thriller, set in an AI-driven future. Subvert the world, hack the systems and solve the conspiracy to uncover the devastating truths.",29,Revolution Software,Revolution Software,7,"Action Adventure,Adventure,3D,Open-World,Third-Person"
3181,Moncage,"November 15, 2021",PC,70,tbd,"Moncage is a stunning vignette puzzle adventure developed by Optillusion.

The game takes place inside a mysterious cube, with each side of the cube housing a unique world: be it an old factory, a light tower, an amusement park, or a church, etc. At first sight, they may seem random and unrelated, but upon closer look, you will become mesmerized by the subtle and intricate ways of how these worlds connect...

Use your imagination and spare no brain cells to find the connection and pinpoint every possible interaction between different sides of the cube, then watch as the magic unfold in front of you.

Behind the puzzles, there lies a story with a surprising twist for the player to uncover. Collect the photos from obscure corners and angles to reveal the underlying story, one photo at a time.",8,OPTILLUSION,X.D. Network Inc.,3,"Puzzle,General"
